
loop:72, bump:10, step:73, totalValence:-148, surprise:0, bigValence:-3, compositeCount:186
loop:73, bump:10, step:74, totalValence:-149, surprise:0, bigValence:-1, compositeCount:188
loop:74, bump:10, step:75, totalValence:-144, surprise:0, bigValence:5, compositeCount:188
loop:75, bump:10, step:76, totalValence:-146, surprise:1, bigValence:-2, compositeCount:191
loop:76, bump:10, step:77, totalValence:-148, surprise:1, bigValence:-2, compositeCount:194
loop:77, bump:10, step:78, totalValence:-143, surprise:0, bigValence:5, compositeCount:196
loop:78, bump:10, step:79, totalValence:-144, surprise:0, bigValence:-1, compositeCount:196
loop:79, bump:10, step:80, totalValence:-147, surprise:0, bigValence:-3, compositeCount:196
loop:80, bump:10, step:81, totalValence:-148, surprise:0, bigValence:0, compositeCount:196
loop:80, bump:10, step:82, totalValence:-143, surprise:0, bigValence:4, compositeCount:198
loop:81, bump:10, step:83, totalValence:-144, surprise:0, bigValence:-1, compositeCount:201
loop:82, bump:10, step:84, totalValence:-139, surprise:0, bigValence:5, compositeCount:203
loop:83, bump:10, step:85, totalValence:-140, surprise:0, bigValence:-1, compositeCount:205
loop:84, bump:10, step:86, totalValence:-135, surprise:0, bigValence:5, compositeCount:207
loop:85, bump:10, step:87, totalValence:-137, surprise:2, bigValence:-2, compositeCount:209
loop:86, bump:10, step:88, totalValence:-139, surprise:0, bigValence:-2, compositeCount:211
loop:87, bump:10, step:89, totalValence:-140, surprise:0, bigValence:-1, compositeCount:213
loop:88, bump:10, step:90, totalValence:-143, surprise:0, bigValence:-3, compositeCount:215
loop:89, bump:10, step:91, totalValence:-144, surprise:0, bigValence:-1, compositeCount:218
loop:90, bump:10, step:92, totalValence:-147, surprise:0, bigValence:-3, compositeCount:221
loop:91, bump:10, step:93, totalValence:-149, surprise:1, bigValence:-2, compositeCount:224
loop:92, bump:10, step:94, totalValence:-151, surprise:0, bigValence:-2, compositeCount:226
loop:93, bump:10, step:95, totalValence:-153, surprise:0, bigValence:-2, compositeCount:228
loop:94, bump:10, step:96, totalValence:-156, surprise:0, bigValence:-3, compositeCount:230
loop:95, bump:10, step:97, totalValence:-158, surprise:0, bigValence:-2, compositeCount:232
loop:96, bump:10, step:98, totalValence:-160, surprise:0, bigValence:-2, compositeCount:235
loop:97, bump:11, step:99, totalValence:-170, surprise:0, bigValence:-10, compositeCount:238
loop:98, bump:11, step:100, totalValence:-171, surprise:0, bigValence:-1, compositeCount:241
loop:99, bump:11, step:101, totalValence:-174, surprise:0, bigValence:-3, compositeCount:244
loop:100, bump:11, step:102, totalValence:-176, surprise:0, bigValence:-2, compositeCount:246
loop:101, bump:11, step:103, totalValence:-171, surprise:0, bigValence:5, compositeCount:246
loop:102, bump:11, step:104, totalValence:-166, surprise:0, bigValence:5, compositeCount:248
loop:103, bump:11, step:105, totalValence:-161, surprise:0, bigValence:5, compositeCount:248
loop:104, bump:12, step:106, totalValence:-171, surprise:0, bigValence:-10, compositeCount:248
loop:105, bump:12, step:107, totalValence:-174, surprise:0, bigValence:-3, compositeCount:250
loop:106, bump:12, step:108, totalValence:-176, surprise:0, bigValence:0, compositeCount:250
loop:106, bump:12, step:109, totalValence:-171, surprise:0, bigValence:3, compositeCount:252
loop:107, bump:12, step:110, totalValence:-174, surprise:0, bigValence:-3, compositeCount:255
loop:108, bump:12, step:111, totalValence:-176, surprise:0, bigValence:-2, compositeCount:257
loop:109, bump:12, step:112, totalValence:-179, surprise:0, bigValence:-3, compositeCount:259
loop:110, bump:12, step:113, totalValence:-180, surprise:0, bigValence:0, compositeCount:259
loop:110, bump:12, step:114, totalValence:-175, surprise:0, bigValence:4, compositeCount:261
loop:111, bump:12, step:115, totalValence:-178, surprise:0, bigValence:-3, compositeCount:264
loop:112, bump:12, step:116, totalValence:-179, surprise:0, bigValence:0, compositeCount:264
loop:112, bump:12, step:117, totalValence:-174, surprise:0, bigValence:4, compositeCount:266
loop:113, bump:12, step:118, totalValence:-177, surprise:0, bigValence:-3, compositeCount:269
loop:114, bump:12, step:119, totalValence:-178, surprise:2, bigValence:-1, compositeCount:271
loop:115, bump:12, step:120, totalValence:-181, surprise:0, bigValence:-3, compositeCount:273
loop:116, bump:12, step:121, totalValence:-182, surprise:0, bigValence:0, compositeCount:273
loop:116, bump:12, step:122, totalValence:-177, surprise:0, bigValence:4, compositeCount:273
loop:117, bump:12, step:123, totalValence:-178, surprise:0, bigValence:0, compositeCount:273
loop:117, bump:12, step:124, totalValence:-173, surprise:0, bigValence:4, compositeCount:275
loop:118, bump:12, step:125, totalValence:-175, surprise:0, bigValence:-2, compositeCount:277
loop:119, bump:12, step:126, totalValence:-177, surprise:0, bigValence:-2, compositeCount:279
loop:120, bump:12, step:127, totalValence:-180, surprise:0, bigValence:-3, compositeCount:281
loop:121, bump:12, step:128, totalValence:-181, surprise:0, bigValence:0, compositeCount:281
loop:121, bump:12, step:129, totalValence:-176, surprise:0, bigValence:4, compositeCount:283
loop:122, bump:12, step:130, totalValence:-177, surprise:0, bigValence:0, compositeCount:283
loop:122, bump:12, step:131, totalValence:-172, surprise:0, bigValence:4, compositeCount:283
loop:123, bump:12, step:132, totalValence:-173, surprise:0, bigValence:0, compositeCount:283
loop:123, bump:12, step:133, totalValence:-168, surprise:0, bigValence:4, compositeCount:285
loop:124, bump:12, step:134, totalValence:-170, surprise:0, bigValence:-2, compositeCount:285
loop:125, bump:12, step:135, totalValence:-173, surprise:0, bigValence:-3, compositeCount:287
loop:126, bump:12, step:136, totalValence:-174, surprise:0, bigValence:0, compositeCount:287
loop:126, bump:12, step:137, totalValence:-169, surprise:0, bigValence:4, compositeCount:287
loop:127, bump:12, step:138, totalValence:-170, surprise:0, bigValence:0, compositeCount:287
loop:127, bump:12, step:139, totalValence:-165, surprise:0, bigValence:4, compositeCount:287
loop:128, bump:12, step:140, totalValence:-167, surprise:0, bigValence:-2, compositeCount:287
loop:129, bump:12, step:141, totalValence:-170, surprise:0, bigValence:-3, compositeCount:289
loop:130, bump:12, step:142, totalValence:-172, surprise:0, bigValence:0, compositeCount:289
loop:130, bump:13, step:143, totalValence:-182, surprise:1, bigValence:-12, compositeCount:292
loop:131, bump:13, step:144, totalValence:-184, surprise:0, bigValence:-2, compositeCount:295
loop:132, bump:14, step:145, totalValence:-194, surprise:0, bigValence:-10, compositeCount:297
loop:133, bump:14, step:146, totalValence:-197, surprise:0, bigValence:-3, compositeCount:299
loop:134, bump:14, step:147, totalValence:-198, surprise:0, bigValence:-1, compositeCount:301
loop:135, bump:14, step:148, totalValence:-199, surprise:0, bigValence:-1, compositeCount:304
loop:136, bump:14, step:149, totalValence:-194, surprise:0, bigValence:5, compositeCount:306
loop:137, bump:14, step:150, totalValence:-195, surprise:0, bigValence:0, compositeCount:306
loop:137, bump:14, step:151, totalValence:-190, surprise:0, bigValence:4, compositeCount:307
loop:138, bump:14, step:152, totalValence:-192, surprise:0, bigValence:-2, compositeCount:309
loop:139, bump:14, step:153, totalValence:-195, surprise:0, bigValence:-3, compositeCount:309
loop:140, bump:14, step:154, totalValence:-197, surprise:0, bigValence:-2, compositeCount:311
loop:141, bump:14, step:155, totalValence:-199, surprise:0, bigValence:-2, compositeCount:313
loop:142, bump:14, step:156, totalValence:-202, surprise:0, bigValence:-3, compositeCount:315
loop:143, bump:14, step:157, totalValence:-203, surprise:0, bigValence:-1, compositeCount:317
loop:144, bump:14, step:158, totalValence:-205, surprise:0, bigValence:-2, compositeCount:320
loop:145, bump:14, step:159, totalValence:-207, surprise:0, bigValence:-2, compositeCount:322
loop:146, bump:15, step:160, totalValence:-217, surprise:0, bigValence:-10, compositeCount:324
loop:147, bump:15, step:161, totalValence:-218, surprise:0, bigValence:-1, compositeCount:326
loop:148, bump:15, step:162, totalValence:-220, surprise:0, bigValence:-2, compositeCount:329
loop:149, bump:15, step:163, totalValence:-223, surprise:0, bigValence:-3, compositeCount:332
loop:150, bump:15, step:164, totalValence:-225, surprise:0, bigValence:-2, compositeCount:334
loop:151, bump:15, step:165, totalValence:-226, surprise:0, bigValence:-1, compositeCount:336
loop:152, bump:15, step:166, totalValence:-227, surprise:0, bigValence:-1, compositeCount:338
loop:153, bump:15, step:167, totalValence:-230, surprise:0, bigValence:0, compositeCount:338
loop:153, bump:15, step:168, totalValence:-231, surprise:0, bigValence:0, compositeCount:338
loop:153, bump:15, step:169, totalValence:-226, surprise:0, bigValence:1, compositeCount:340
loop:154, bump:15, step:170, totalValence:-227, surprise:0, bigValence:0, compositeCount:340
loop:154, bump:15, step:171, totalValence:-222, surprise:0, bigValence:4, compositeCount:342
loop:155, bump:15, step:172, totalValence:-224, surprise:0, bigValence:-2, compositeCount:344
