loop_number:115, bump_number:13, step_number:115, totalValence:-197
loop_number:116, bump_number:13, step_number:116, totalValence:-192
loop_number:117, bump_number:13, step_number:117, totalValence:-193
loop_number:117, bump_number:13, step_number:118, totalValence:-188
loop_number:118, bump_number:13, step_number:119, totalValence:-189
loop_number:118, bump_number:13, step_number:120, totalValence:-184
loop_number:119, bump_number:13, step_number:121, totalValence:-186
loop_number:120, bump_number:13, step_number:122, totalValence:-189
loop_number:121, bump_number:13, step_number:123, totalValence:-191
loop_number:122, bump_number:14, step_number:124, totalValence:-201
loop_number:123, bump_number:14, step_number:125, totalValence:-202
loop_number:124, bump_number:14, step_number:126, totalValence:-205
loop_number:125, bump_number:14, step_number:127, totalValence:-206
loop_number:126, bump_number:14, step_number:128, totalValence:-207
loop_number:127, bump_number:14, step_number:129, totalValence:-202
loop_number:128, bump_number:14, step_number:130, totalValence:-203
loop_number:128, bump_number:14, step_number:131, totalValence:-198
loop_number:129, bump_number:14, step_number:132, totalValence:-199
loop_number:129, bump_number:14, step_number:133, totalValence:-194
loop_number:130, bump_number:14, step_number:134, totalValence:-196
loop_number:131, bump_number:14, step_number:135, totalValence:-199
loop_number:132, bump_number:14, step_number:136, totalValence:-201
loop_number:133, bump_number:14, step_number:137, totalValence:-203
loop_number:134, bump_number:14, step_number:138, totalValence:-205
loop_number:135, bump_number:14, step_number:139, totalValence:-207
loop_number:136, bump_number:14, step_number:140, totalValence:-210
loop_number:137, bump_number:14, step_number:141, totalValence:-211
loop_number:138, bump_number:14, step_number:142, totalValence:-213
loop_number:139, bump_number:15, step_number:143, totalValence:-223
loop_number:140, bump_number:15, step_number:144, totalValence:-226
loop_number:141, bump_number:15, step_number:145, totalValence:-228
loop_number:142, bump_number:15, step_number:146, totalValence:-229
loop_number:143, bump_number:15, step_number:147, totalValence:-231
loop_number:144, bump_number:15, step_number:148, totalValence:-234
loop_number:145, bump_number:15, step_number:149, totalValence:-237
loop_number:146, bump_number:15, step_number:150, totalValence:-240
loop_number:147, bump_number:15, step_number:151, totalValence:-241
loop_number:148, bump_number:15, step_number:152, totalValence:-236
loop_number:149, bump_number:15, step_number:153, totalValence:-237
loop_number:149, bump_number:15, step_number:154, totalValence:-232
loop_number:150, bump_number:15, step_number:155, totalValence:-233
loop_number:150, bump_number:15, step_number:156, totalValence:-228
loop_number:151, bump_number:15, step_number:157, totalValence:-230
loop_number:152, bump_number:15, step_number:158, totalValence:-232
loop_number:153, bump_number:15, step_number:159, totalValence:-235
loop_number:154, bump_number:15, step_number:160, totalValence:-236
loop_number:155, bump_number:15, step_number:161, totalValence:-237
loop_number:156, bump_number:15, step_number:162, totalValence:-238
loop_number:157, bump_number:15, step_number:163, totalValence:-240
loop_number:158, bump_number:15, step_number:164, totalValence:-241
loop_number:159, bump_number:15, step_number:165, totalValence:-242
loop_number:160, bump_number:15, step_number:166, totalValence:-237
loop_number:161, bump_number:15, step_number:167, totalValence:-238
loop_number:161, bump_number:15, step_number:168, totalValence:-233
loop_number:162, bump_number:15, step_number:169, totalValence:-234
loop_number:162, bump_number:15, step_number:170, totalValence:-229
loop_number:163, bump_number:15, step_number:171, totalValence:-231
loop_number:164, bump_number:15, step_number:172, totalValence:-233
loop_number:165, bump_number:15, step_number:173, totalValence:-234
loop_number:166, bump_number:15, step_number:174, totalValence:-236
loop_number:167, bump_number:15, step_number:175, totalValence:-237
loop_number:168, bump_number:15, step_number:176, totalValence:-240
loop_number:169, bump_number:15, step_number:177, totalValence:-241
loop_number:170, bump_number:15, step_number:178, totalValence:-244
loop_number:171, bump_number:15, step_number:179, totalValence:-246
loop_number:172, bump_number:15, step_number:180, totalValence:-248
loop_number:173, bump_number:15, step_number:181, totalValence:-250
loop_number:174, bump_number:15, step_number:182, totalValence:-252
loop_number:175, bump_number:15, step_number:183, totalValence:-253
loop_number:176, bump_number:15, step_number:184, totalValence:-254
loop_number:177, bump_number:15, step_number:185, totalValence:-256
loop_number:178, bump_number:15, step_number:186, totalValence:-258
loop_number:179, bump_number:15, step_number:187, totalValence:-260
loop_number:180, bump_number:15, step_number:188, totalValence:-261
loop_number:181, bump_number:15, step_number:189, totalValence:-263
loop_number:182, bump_number:15, step_number:190, totalValence:-266
loop_number:183, bump_number:15, step_number:191, totalValence:-268
loop_number:184, bump_number:15, step_number:192, totalValence:-271
loop_number:185, bump_number:15, step_number:193, totalValence:-274
loop_number:186, bump_number:15, step_number:194, totalValence:-275
loop_number:187, bump_number:15, step_number:195, totalValence:-277
loop_number:188, bump_number:15, step_number:196, totalValence:-280
loop_number:189, bump_number:15, step_number:197, totalValence:-282
loop_number:190, bump_number:15, step_number:198, totalValence:-285
loop_number:191, bump_number:15, step_number:199, totalValence:-288
loop_number:192, bump_number:15, step_number:200, totalValence:-289
loop_number:192, bump_number:15, step_number:201, totalValence:-284
loop_number:193, bump_number:15, step_number:202, totalValence:-285
loop_number:193, bump_number:15, step_number:203, totalValence:-280
loop_number:194, bump_number:15, step_number:204, totalValence:-281
loop_number:194, bump_number:15, step_number:205, totalValence:-276
loop_number:195, bump_number:15, step_number:206, totalValence:-278
loop_number:196, bump_number:15, step_number:207, totalValence:-281
loop_number:197, bump_number:15, step_number:208, totalValence:-276
loop_number:198, bump_number:15, step_number:209, totalValence:-277
loop_number:198, bump_number:15, step_number:210, totalValence:-272
loop_number:198, bump_number:15, step_number:211, totalValence:-273
loop_number:198, bump_number:15, step_number:212, totalValence:-268
loop_number:199, bump_number:15, step_number:213, totalValence:-270
loop_number:200, bump_number:15, step_number:214, totalValence:-273
loop_number:201, bump_number:15, step_number:215, totalValence:-268
loop_number:202, bump_number:15, step_number:216, totalValence:-269
loop_number:202, bump_number:15, step_number:217, totalValence:-264
loop_number:202, bump_number:15, step_number:218, totalValence:-266
loop_number:203, bump_number:15, step_number:219, totalValence:-268
loop_number:204, bump_number:15, step_number:220, totalValence:-271
loop_number:205, bump_number:15, step_number:221, totalValence:-266
loop_number:206, bump_number:15, step_number:222, totalValence:-268
loop_number:207, bump_number:15, step_number:223, totalValence:-271
loop_number:208, bump_number:16, step_number:224, totalValence:-281
loop_number:209, bump_number:16, step_number:225, totalValence:-284
loop_number:210, bump_number:16, step_number:226, totalValence:-279
loop_number:211, bump_number:16, step_number:227, totalValence:-281
loop_number:212, bump_number:16, step_number:228, totalValence:-282
loop_number:213, bump_number:17, step_number:229, totalValence:-292
loop_number:214, bump_number:17, step_number:230, totalValence:-295
loop_number:215, bump_number:18, step_number:231, totalValence:-305
loop_number:216, bump_number:18, step_number:232, totalValence:-306
loop_number:217, bump_number:18, step_number:233, totalValence:-307
loop_number:218, bump_number:18, step_number:234, totalValence:-308
loop_number:219, bump_number:18, step_number:235, totalValence:-309
loop_number:220, bump_number:18, step_number:236, totalValence:-312
loop_number:221, bump_number:18, step_number:237, totalValence:-307
loop_number:222, bump_number:18, step_number:238, totalValence:-309
loop_number:223, bump_number:18, step_number:239, totalValence:-311
loop_number:224, bump_number:18, step_number:240, totalValence:-312
loop_number:225, bump_number:18, step_number:241, totalValence:-313
loop_number:226, bump_number:18, step_number:242, totalValence:-316
loop_number:227, bump_number:18, step_number:243, totalValence:-317
loop_number:227, bump_number:18, step_number:244, totalValence:-312
loop_number:228, bump_number:18, step_number:245, totalValence:-314
loop_number:229, bump_number:18, step_number:246, totalValence:-315
loop_number:230, bump_number:18, step_number:247, totalValence:-317
loop_number:231, bump_number:18, step_number:248, totalValence:-319
loop_number:232, bump_number:18, step_number:249, totalValence:-322
loop_number:233, bump_number:18, step_number:250, totalValence:-324
loop_number:234, bump_number:19, step_number:251, totalValence:-334
loop_number:235, bump_number:19, step_number:252, totalValence:-336
loop_number:236, bump_number:19, step_number:253, totalValence:-338
loop_number:237, bump_number:19, step_number:254, totalValence:-340
loop_number:238, bump_number:19, step_number:255, totalValence:-342
loop_number:239, bump_number:19, step_number:256, totalValence:-344
loop_number:240, bump_number:19, step_number:257, totalValence:-345
loop_number:241, bump_number:19, step_number:258, totalValence:-348
loop_number:242, bump_number:20, step_number:259, totalValence:-358
loop_number:243, bump_number:21, step_number:260, totalValence:-368
loop_number:244, bump_number:21, step_number:261, totalValence:-369
loop_number:245, bump_number:21, step_number:262, totalValence:-372
loop_number:246, bump_number:21, step_number:263, totalValence:-374
loop_number:247, bump_number:21, step_number:264, totalValence:-377
loop_number:248, bump_number:21, step_number:265, totalValence:-378
loop_number:249, bump_number:21, step_number:266, totalValence:-381
loop_number:250, bump_number:21, step_number:267, totalValence:-382
loop_number:250, bump_number:21, step_number:268, totalValence:-377
loop_number:251, bump_number:21, step_number:269, totalValence:-378
loop_number:251, bump_number:21, step_number:270, totalValence:-373
loop_number:252, bump_number:21, step_number:271, totalValence:-375
loop_number:253, bump_number:21, step_number:272, totalValence:-376
loop_number:254, bump_number:21, step_number:273, totalValence:-379
loop_number:255, bump_number:21, step_number:274, totalValence:-381
loop_number:256, bump_number:21, step_number:275, totalValence:-383
loop_number:257, bump_number:21, step_number:276, totalValence:-384
loop_number:258, bump_number:21, step_number:277, totalValence:-385
loop_number:259, bump_number:21, step_number:278, totalValence:-380
loop_number:260, bump_number:21, step_number:279, totalValence:-381
loop_number:260, bump_number:21, step_number:280, totalValence:-376
loop_number:261, bump_number:21, step_number:281, totalValence:-377
loop_number:261, bump_number:21, step_number:282, totalValence:-372
loop_number:262, bump_number:21, step_number:283, totalValence:-374
loop_number:263, bump_number:21, step_number:284, totalValence:-376
loop_number:264, bump_number:21, step_number:285, totalValence:-379
loop_number:265, bump_number:21, step_number:286, totalValence:-382
loop_number:266, bump_number:21, step_number:287, totalValence:-384
loop_number:267, bump_number:21, step_number:288, totalValence:-386
loop_number:268, bump_number:21, step_number:289, totalValence:-389
loop_number:269, bump_number:21, step_number:290, totalValence:-390
loop_number:270, bump_number:21, step_number:291, totalValence:-391
loop_number:271, bump_number:21, step_number:292, totalValence:-386
loop_number:272, bump_number:21, step_number:293, totalValence:-387
loop_number:272, bump_number:21, step_number:294, totalValence:-382
loop_number:273, bump_number:21, step_number:295, totalValence:-383
loop_number:273, bump_number:21, step_number:296, totalValence:-378
loop_number:274, bump_number:21, step_number:297, totalValence:-380
loop_number:275, bump_number:21, step_number:298, totalValence:-383
loop_number:276, bump_number:21, step_number:299, totalValence:-385
loop_number:277, bump_number:21, step_number:300, totalValence:-387
loop_number:278, bump_number:22, step_number:301, totalValence:-397
loop_number:279, bump_number:22, step_number:302, totalValence:-400
loop_number:280, bump_number:22, step_number:303, totalValence:-403
loop_number:281, bump_number:22, step_number:304, totalValence:-404
loop_number:281, bump_number:22, step_number:305, totalValence:-399
loop_number:282, bump_number:22, step_number:306, totalValence:-400
loop_number:282, bump_number:22, step_number:307, totalValence:-395
loop_number:283, bump_number:22, step_number:308, totalValence:-397
loop_number:284, bump_number:22, step_number:309, totalValence:-399
loop_number:285, bump_number:22, step_number:310, totalValence:-401
loop_number:286, bump_number:22, step_number:311, totalValence:-402
loop_number:287, bump_number:22, step_number:312, totalValence:-404
loop_number:288, bump_number:22, step_number:313, totalValence:-407
loop_number:289, bump_number:22, step_number:314, totalValence:-408
loop_number:290, bump_number:22, step_number:315, totalValence:-409
loop_number:291, bump_number:22, step_number:316, totalValence:-410
loop_number:291, bump_number:22, step_number:317, totalValence:-405
loop_number:292, bump_number:22, step_number:318, totalValence:-407
loop_number:293, bump_number:23, step_number:319, totalValence:-417
loop_number:294, bump_number:23, step_number:320, totalValence:-418
loop_number:295, bump_number:23, step_number:321, totalValence:-420
loop_number:296, bump_number:23, step_number:322, totalValence:-423
loop_number:297, bump_number:23, step_number:323, totalValence:-424
loop_number:297, bump_number:23, step_number:324, totalValence:-419
loop_number:298, bump_number:23, step_number:325, totalValence:-421
loop_number:299, bump_number:23, step_number:326, totalValence:-423
loop_number:300, bump_number:23, step_number:327, totalValence:-426
loop_number:301, bump_number:23, step_number:328, totalValence:-428
loop_number:302, bump_number:23, step_number:329, totalValence:-431
loop_number:303, bump_number:23, step_number:330, totalValence:-433
loop_number:304, bump_number:23, step_number:331, totalValence:-435
loop_number:305, bump_number:23, step_number:332, totalValence:-437
loop_number:306, bump_number:23, step_number:333, totalValence:-439
loop_number:307, bump_number:23, step_number:334, totalValence:-440
loop_number:308, bump_number:23, step_number:335, totalValence:-442
loop_number:309, bump_number:23, step_number:336, totalValence:-444
loop_number:310, bump_number:23, step_number:337, totalValence:-446
loop_number:311, bump_number:23, step_number:338, totalValence:-449
loop_number:312, bump_number:23, step_number:339, totalValence:-451
loop_number:313, bump_number:23, step_number:340, totalValence:-454
loop_number:314, bump_number:23, step_number:341, totalValence:-455
loop_number:314, bump_number:23, step_number:342, totalValence:-450
loop_number:315, bump_number:23, step_number:343, totalValence:-452
loop_number:316, bump_number:23, step_number:344, totalValence:-453
loop_number:317, bump_number:23, step_number:345, totalValence:-454
loop_number:318, bump_number:23, step_number:346, totalValence:-456
loop_number:319, bump_number:23, step_number:347, totalValence:-459
loop_number:320, bump_number:23, step_number:348, totalValence:-461
loop_number:321, bump_number:23, step_number:349, totalValence:-464
loop_number:322, bump_number:23, step_number:350, totalValence:-465
loop_number:323, bump_number:23, step_number:351, totalValence:-466
loop_number:324, bump_number:23, step_number:352, totalValence:-468
loop_number:325, bump_number:23, step_number:353, totalValence:-469
loop_number:326, bump_number:23, step_number:354, totalValence:-472
loop_number:327, bump_number:23, step_number:355, totalValence:-474
loop_number:328, bump_number:23, step_number:356, totalValence:-476
loop_number:329, bump_number:23, step_number:357, totalValence:-478
loop_number:330, bump_number:23, step_number:358, totalValence:-479
loop_number:331, bump_number:23, step_number:359, totalValence:-481
loop_number:332, bump_number:23, step_number:360, totalValence:-483
loop_number:333, bump_number:23, step_number:361, totalValence:-485
loop_number:334, bump_number:23, step_number:362, totalValence:-486
loop_number:335, bump_number:23, step_number:363, totalValence:-487
loop_number:336, bump_number:23, step_number:364, totalValence:-490
loop_number:337, bump_number:23, step_number:365, totalValence:-491
loop_number:337, bump_number:23, step_number:366, totalValence:-486
loop_number:338, bump_number:23, step_number:367, totalValence:-488
loop_number:339, bump_number:23, step_number:368, totalValence:-490
loop_number:340, bump_number:23, step_number:369, totalValence:-493
loop_number:341, bump_number:23, step_number:370, totalValence:-495
loop_number:342, bump_number:23, step_number:371, totalValence:-496
loop_number:343, bump_number:23, step_number:372, totalValence:-491
loop_number:344, bump_number:23, step_number:373, totalValence:-492
loop_number:344, bump_number:23, step_number:374, totalValence:-487
loop_number:345, bump_number:23, step_number:375, totalValence:-489
loop_number:346, bump_number:23, step_number:376, totalValence:-490
loop_number:347, bump_number:23, step_number:377, totalValence:-491
loop_number:348, bump_number:23, step_number:378, totalValence:-493
loop_number:349, bump_number:23, step_number:379, totalValence:-496
loop_number:350, bump_number:23, step_number:380, totalValence:-499
loop_number:351, bump_number:23, step_number:381, totalValence:-502
loop_number:352, bump_number:23, step_number:382, totalValence:-503
loop_number:352, bump_number:23, step_number:383, totalValence:-498
loop_number:353, bump_number:23, step_number:384, totalValence:-499
loop_number:353, bump_number:23, step_number:385, totalValence:-494
loop_number:354, bump_number:23, step_number:386, totalValence:-495
loop_number:354, bump_number:23, step_number:387, totalValence:-490
loop_number:355, bump_number:23, step_number:388, totalValence:-492
loop_number:356, bump_number:23, step_number:389, totalValence:-495
loop_number:357, bump_number:23, step_number:390, totalValence:-497
loop_number:358, bump_number:23, step_number:391, totalValence:-499
loop_number:359, bump_number:24, step_number:392, totalValence:-509
loop_number:360, bump_number:24, step_number:393, totalValence:-511
loop_number:361, bump_number:24, step_number:394, totalValence:-513
loop_number:362, bump_number:24, step_number:395, totalValence:-515
loop_number:363, bump_number:24, step_number:396, totalValence:-518
loop_number:364, bump_number:24, step_number:397, totalValence:-519
loop_number:364, bump_number:24, step_number:398, totalValence:-514
loop_number:365, bump_number:24, step_number:399, totalValence:-515
loop_number:365, bump_number:24, step_number:400, totalValence:-510
loop_number:366, bump_number:24, step_number:401, totalValence:-511
loop_number:366, bump_number:24, step_number:402, totalValence:-506
loop_number:367, bump_number:24, step_number:403, totalValence:-508
loop_number:368, bump_number:24, step_number:404, totalValence:-509
loop_number:369, bump_number:24, step_number:405, totalValence:-512
loop_number:369, bump_number:24, step_number:406, totalValence:-513
loop_number:369, bump_number:24, step_number:407, totalValence:-508
loop_number:370, bump_number:24, step_number:408, totalValence:-509
loop_number:370, bump_number:24, step_number:409, totalValence:-504
